日期,最高温,最低温,天气,风力风向,空气质量指数
2024-06-01 周六,31°,21°,暴雨~大雨,东南风1级,17 优
2024-06-02 周日,24°,20°,小雨~阴,东南风1级,26 优
2024-06-03 周一,22°,19°,阴,东北风1级,22 优
2024-06-04 周二,23°,19°,雾~小雨,东北风1级,29 优
2024-06-05 周三,21°,18°,中雨~小雨,东南风1级,28 优
2024-06-06 周四,24°,21°,阴,西北风1级,20 优
2024-06-07 周五,28°,22°,阴,东南风1级,23 优
2024-06-08 周六,30°,23°,中雨~小雨,西北风1级,28 优
2024-06-09 周日,27°,24°,大雨,西南风1级,17 优
2024-06-10 周一,26°,23°,大雨~中雨,东南风1级,19 优
2024-06-11 周二,31°,24°,小雨~阴,南风1级,17 优
2024-06-12 周三,27°,24°,暴雨~大雨,西南风1级,22 优
2024-06-13 周四,29°,24°,大雨~中雨,西南风1级,14 优
2024-06-14 周五,28°,25°,中雨~小雨,东南风2级,20 优
2024-06-15 周六,27°,24°,中雨,南风1级,20 优
2024-06-16 周日,28°,24°,大雨~中雨,东南风1级,16 优
2024-06-17 周一,25°,24°,暴雨~中雨,南风1级,15 优
2024-06-18 周二,31°,24°,雾~阴,东南风1级,22 优
2024-06-19 周三,33°,25°,小雨~阴,南风2级,20 优
2024-06-20 周四,35°,24°,阴~多云,西南风2级,25 优
2024-06-21 周五,36°,24°,阴~多云,西南风1级,24 优
2024-06-22 周六,36°,25°,多云~阴,西南风2级,28 优
2024-06-23 周日,38°,26°,阴,西南风2级,29 优
2024-06-24 周一,36°,25°,阴~多云,西南风1级,23 优
2024-06-25 周二,34°,24°,大雨~阴,西南风1级,22 优
2024-06-26 周三,32°,23°,阴,北风1级,19 优
2024-06-27 周四,32°,23°,阴,西南风1级,19 优
2024-06-28 周五,34°,25°,阴,东南风2级,22 优
2024-06-29 周六,33°,25°,阴~多云,南风2级,20 优
2024-06-30 周日,34°,26°,阴~多云,西南风2级,18 优
