日期,最高温,最低温,天气,风力风向,空气质量指数
2024-06-01 周六,31°,24°,阴~多云,西北风2级,26 优
2024-06-02 周日,34°,24°,阴~阵雨,西南风微风,36 优
2024-06-03 周一,28°,24°,小雨~暴雨,东南风2级,23 优
2024-06-04 周二,29°,24°,中雨~暴雨,东北风1级,20 优
2024-06-05 周三,24°,23°,暴雨~中雨,西北风2级,12 优
2024-06-06 周四,28°,24°,雾~小雨,东北风2级,18 优
2024-06-07 周五,30°,25°,雾~小雨,东北风2级,25 优
2024-06-08 周六,28°,24°,大雨,东风2级,28 优
2024-06-09 周日,31°,25°,中雨~阵雨,东南风2级,23 优
2024-06-10 周一,30°,25°,中雨~多云,东南风2级,21 优
2024-06-11 周二,33°,26°,小雨~多云,西南风2级,24 优
2024-06-12 周三,33°,26°,阴~多云,西南风3级,27 优
2024-06-13 周四,33°,27°,阴~阵雨,南风2级,29 优
2024-06-14 周五,30°,25°,小雨~大雨,东风1级,29 优
2024-06-15 周六,29°,25°,大雨~中雨,西南风2级,23 优
2024-06-16 周日,29°,25°,阵雨~多云,南风2级,26 优
2024-06-17 周一,33°,26°,雾~阵雨,南风3级,39 优
2024-06-18 周二,31°,26°,小雨~中雨,东南风2级,24 优
2024-06-19 周三,33°,27°,小雨~阵雨,南风3级,32 优
2024-06-20 周四,34°,27°,小雨~多云,南风3级,33 优
2024-06-21 周五,34°,27°,阴~多云,东南风3级,30 优
2024-06-22 周六,35°,27°,多云,东南风2级,25 优
2024-06-23 周日,34°,27°,多云,东南风2级,21 优
2024-06-24 周一,33°,26°,小雨~阵雨,东南风3级,19 优
2024-06-25 周二,31°,26°,中雨~阵雨,东南风3级,15 优
2024-06-26 周三,32°,26°,暴雨~阵雨,东南风3级,17 优
2024-06-27 周四,31°,25°,小雨~多云,东南风2级,22 优
2024-06-28 周五,32°,26°,小雨~多云,南风3级,22 优
2024-06-29 周六,32°,27°,小雨~多云,南风3级,25 优
2024-06-30 周日,32°,26°,阴~阵雨,南风3级,25 优
